,algorithm,dataset,datasize,clscnt,fcnt,runtime_ms_iter,runtime_ms,iterno,numlocal,m,vmi,ami,ari,selh,maxdist,avgdist,sumdist
1,PCM,iris,10000,3,2,19.212519250264982,787.7132892608643,41,5,2.1,0.6359,0.6314,0.61,0.4593,0.894,0.7417,2.2251
2,FCM,iris,10000,3,2,3.728480566115606,391.4904594421387,105,5,2.1,0.7221,0.7185,0.6423,0.4149,0.6049,0.3348,1.0043
3,SPCM,iris,10000,3,2,44.14234490230166,1280.128002166748,29,5,2.1,0.6359,0.6314,0.61,0.4593,0.8054,0.664,1.9921
4,PFCM,iris,10000,3,2,0.6754265891181098,12.157678604125977,18,5,2.1,0.7004,0.6967,0.6765,0.4508,0.9307,0.723,2.1691
5,WPCM,iris,10000,3,2,31.967568397521973,639.3513679504395,20,5,2.1,0.6867,0.6827,0.6537,0.458,1.1222,0.8153,2.4459
6,HCM,iris,10000,3,2,0.39909806487617194,6787.06169128418,17006,5,2.1,0.6728,0.6687,0.641,0.4566,0.0,0.0,0.0
